tile,repetition,codec,preset,qp,height,time
suburb13.y4m,3,hevc_nvenc,p3,18,320,4.414
suburb13.y4m,4,hevc_nvenc,p3,18,320,4.015
suburb13.y4m,0,hevc_nvenc,p3,20,0,7.071
suburb13.y4m,1,hevc_nvenc,p3,20,0,7.038
suburb13.y4m,2,hevc_nvenc,p3,20,0,7.055
suburb13.y4m,3,hevc_nvenc,p3,20,0,7.038
suburb13.y4m,4,hevc_nvenc,p3,20,0,7.051
suburb13.y4m,0,hevc_nvenc,p3,20,320,4.664
suburb13.y4m,1,hevc_nvenc,p3,20,320,4.392
suburb13.y4m,2,hevc_nvenc,p3,20,320,3.996
suburb13.y4m,3,hevc_nvenc,p3,20,320,4.151
suburb13.y4m,4,hevc_nvenc,p3,20,320,4.2
suburb13.y4m,0,hevc_nvenc,p3,22,0,7.08
suburb13.y4m,1,hevc_nvenc,p3,22,0,7.044
suburb13.y4m,2,hevc_nvenc,p3,22,0,7.042
suburb13.y4m,3,hevc_nvenc,p3,22,0,7.05
suburb13.y4m,4,hevc_nvenc,p3,22,0,7.06
suburb13.y4m,0,hevc_nvenc,p3,22,320,4.242
suburb13.y4m,1,hevc_nvenc,p3,22,320,4.186
suburb13.y4m,2,hevc_nvenc,p3,22,320,4.592
suburb13.y4m,3,hevc_nvenc,p3,22,320,4.198
suburb13.y4m,4,hevc_nvenc,p3,22,320,3.99
suburb13.y4m,0,hevc_nvenc,p3,24,0,7.098
suburb13.y4m,1,hevc_nvenc,p3,24,0,7.045
suburb13.y4m,2,hevc_nvenc,p3,24,0,7.046
suburb13.y4m,3,hevc_nvenc,p3,24,0,7.084
suburb13.y4m,4,hevc_nvenc,p3,24,0,7.039
suburb13.y4m,0,hevc_nvenc,p3,24,320,4.334
suburb13.y4m,1,hevc_nvenc,p3,24,320,3.915
suburb13.y4m,2,hevc_nvenc,p3,24,320,4.17
suburb13.y4m,3,hevc_nvenc,p3,24,320,4.429
suburb13.y4m,4,hevc_nvenc,p3,24,320,4.285
suburb13.y4m,0,hevc_nvenc,p3,26,0,7.054
suburb13.y4m,1,hevc_nvenc,p3,26,0,7.045
suburb13.y4m,2,hevc_nvenc,p3,26,0,7.071
suburb13.y4m,3,hevc_nvenc,p3,26,0,7.058
suburb13.y4m,4,hevc_nvenc,p3,26,0,7.041
suburb13.y4m,0,hevc_nvenc,p3,26,320,4.533
suburb13.y4m,1,hevc_nvenc,p3,26,320,4.12
suburb13.y4m,2,hevc_nvenc,p3,26,320,4.048
suburb13.y4m,3,hevc_nvenc,p3,26,320,4.318
suburb13.y4m,4,hevc_nvenc,p3,26,320,4.031
suburb13.y4m,0,hevc_nvenc,p3,28,0,7.081
suburb13.y4m,1,hevc_nvenc,p3,28,0,7.051
suburb13.y4m,2,hevc_nvenc,p3,28,0,7.05
suburb13.y4m,3,hevc_nvenc,p3,28,0,7.046
suburb13.y4m,4,hevc_nvenc,p3,28,0,7.037
suburb13.y4m,0,hevc_nvenc,p3,28,320,4.214
suburb13.y4m,1,hevc_nvenc,p3,28,320,4.079
suburb13.y4m,2,hevc_nvenc,p3,28,320,4.114
suburb13.y4m,3,hevc_nvenc,p3,28,320,4.027
suburb13.y4m,4,hevc_nvenc,p3,28,320,4.075
suburb13.y4m,0,hevc_nvenc,p3,30,0,7.058
suburb13.y4m,1,hevc_nvenc,p3,30,0,7.04
suburb13.y4m,2,hevc_nvenc,p3,30,0,7.045
suburb13.y4m,3,hevc_nvenc,p3,30,0,7.038
suburb13.y4m,4,hevc_nvenc,p3,30,0,7.035
suburb13.y4m,0,hevc_nvenc,p3,30,320,3.933
suburb13.y4m,1,hevc_nvenc,p3,30,320,4.459
suburb13.y4m,2,hevc_nvenc,p3,30,320,4.195
suburb13.y4m,3,hevc_nvenc,p3,30,320,4.459
suburb13.y4m,4,hevc_nvenc,p3,30,320,4.118
suburb13.y4m,0,hevc_nvenc,p3,32,0,7.054
suburb13.y4m,1,hevc_nvenc,p3,32,0,7.076
suburb13.y4m,2,hevc_nvenc,p3,32,0,7.051
suburb13.y4m,3,hevc_nvenc,p3,32,0,7.281
suburb13.y4m,4,hevc_nvenc,p3,32,0,7.047
suburb13.y4m,0,hevc_nvenc,p3,32,320,4.389
suburb13.y4m,1,hevc_nvenc,p3,32,320,4.082
suburb13.y4m,2,hevc_nvenc,p3,32,320,4.084
suburb13.y4m,3,hevc_nvenc,p3,32,320,4.18
suburb13.y4m,4,hevc_nvenc,p3,32,320,4.328
suburb13.y4m,0,hevc_nvenc,p3,34,0,7.068
suburb13.y4m,1,hevc_nvenc,p3,34,0,7.046
suburb13.y4m,2,hevc_nvenc,p3,34,0,7.064
suburb13.y4m,3,hevc_nvenc,p3,34,0,7.037
suburb13.y4m,4,hevc_nvenc,p3,34,0,7.055
suburb13.y4m,0,hevc_nvenc,p3,34,320,4.071
suburb13.y4m,1,hevc_nvenc,p3,34,320,4.428
suburb13.y4m,2,hevc_nvenc,p3,34,320,4.129
suburb13.y4m,3,hevc_nvenc,p3,34,320,4.119
suburb13.y4m,4,hevc_nvenc,p3,34,320,4.271
suburb13.y4m,0,hevc_nvenc,p3,36,0,7.076
suburb13.y4m,1,hevc_nvenc,p3,36,0,7.039
suburb13.y4m,2,hevc_nvenc,p3,36,0,7.046
suburb13.y4m,3,hevc_nvenc,p3,36,0,7.063
suburb13.y4m,4,hevc_nvenc,p3,36,0,7.048
suburb13.y4m,0,hevc_nvenc,p3,36,320,4.199
suburb13.y4m,1,hevc_nvenc,p3,36,320,4.302
suburb13.y4m,2,hevc_nvenc,p3,36,320,4.272
suburb13.y4m,3,hevc_nvenc,p3,36,320,4.196
suburb13.y4m,4,hevc_nvenc,p3,36,320,4.139
suburb13.y4m,0,hevc_nvenc,p3,38,0,7.084
suburb13.y4m,1,hevc_nvenc,p3,38,0,7.065
suburb13.y4m,2,hevc_nvenc,p3,38,0,7.058
suburb13.y4m,3,hevc_nvenc,p3,38,0,7.046
suburb13.y4m,4,hevc_nvenc,p3,38,0,7.035
suburb13.y4m,0,hevc_nvenc,p3,38,320,4.259
suburb13.y4m,1,hevc_nvenc,p3,38,320,4.304
suburb13.y4m,2,hevc_nvenc,p3,38,320,4.212
suburb13.y4m,3,hevc_nvenc,p3,38,320,4.199
suburb13.y4m,4,hevc_nvenc,p3,38,320,4.253
suburb13.y4m,0,hevc_nvenc,p3,40,0,7.069
suburb13.y4m,1,hevc_nvenc,p3,40,0,7.043
suburb13.y4m,2,hevc_nvenc,p3,40,0,7.062
suburb13.y4m,3,hevc_nvenc,p3,40,0,7.046
suburb13.y4m,4,hevc_nvenc,p3,40,0,7.051
suburb13.y4m,0,hevc_nvenc,p3,40,320,4.059
suburb13.y4m,1,hevc_nvenc,p3,40,320,4.045
suburb13.y4m,2,hevc_nvenc,p3,40,320,4.198
suburb13.y4m,3,hevc_nvenc,p3,40,320,4.307
suburb13.y4m,4,hevc_nvenc,p3,40,320,4.391
suburb13.y4m,0,hevc_nvenc,p4,18,0,8.636
suburb13.y4m,1,hevc_nvenc,p4,18,0,8.597
suburb13.y4m,2,hevc_nvenc,p4,18,0,8.598
suburb13.y4m,3,hevc_nvenc,p4,18,0,8.615
suburb13.y4m,4,hevc_nvenc,p4,18,0,8.596
suburb13.y4m,0,hevc_nvenc,p4,18,320,4.174
suburb13.y4m,1,hevc_nvenc,p4,18,320,4.146
suburb13.y4m,2,hevc_nvenc,p4,18,320,4.124
suburb13.y4m,3,hevc_nvenc,p4,18,320,3.896
suburb13.y4m,4,hevc_nvenc,p4,18,320,4.149
suburb13.y4m,0,hevc_nvenc,p4,20,0,8.597
suburb13.y4m,1,hevc_nvenc,p4,20,0,8.612
suburb13.y4m,2,hevc_nvenc,p4,20,0,8.598
suburb13.y4m,3,hevc_nvenc,p4,20,0,8.598
suburb13.y4m,4,hevc_nvenc,p4,20,0,8.598
suburb13.y4m,0,hevc_nvenc,p4,20,320,4.111
suburb13.y4m,1,hevc_nvenc,p4,20,320,4.505
suburb13.y4m,2,hevc_nvenc,p4,20,320,4.406
suburb13.y4m,3,hevc_nvenc,p4,20,320,4.296
suburb13.y4m,4,hevc_nvenc,p4,20,320,4.084
suburb13.y4m,0,hevc_nvenc,p4,22,0,8.597
suburb13.y4m,1,hevc_nvenc,p4,22,0,8.598
suburb13.y4m,2,hevc_nvenc,p4,22,0,8.598
suburb13.y4m,3,hevc_nvenc,p4,22,0,8.602
suburb13.y4m,4,hevc_nvenc,p4,22,0,8.6
suburb13.y4m,0,hevc_nvenc,p4,22,320,4.194
suburb13.y4m,1,hevc_nvenc,p4,22,320,3.978
suburb13.y4m,2,hevc_nvenc,p4,22,320,4.362
suburb13.y4m,3,hevc_nvenc,p4,22,320,4.434
suburb13.y4m,4,hevc_nvenc,p4,22,320,4.19
suburb13.y4m,0,hevc_nvenc,p4,24,0,8.598
suburb13.y4m,1,hevc_nvenc,p4,24,0,8.598
suburb13.y4m,2,hevc_nvenc,p4,24,0,8.597
suburb13.y4m,3,hevc_nvenc,p4,24,0,8.62
suburb13.y4m,4,hevc_nvenc,p4,24,0,8.603
suburb13.y4m,0,hevc_nvenc,p4,24,320,4.042
suburb13.y4m,1,hevc_nvenc,p4,24,320,4.155
suburb13.y4m,2,hevc_nvenc,p4,24,320,4.506
suburb13.y4m,3,hevc_nvenc,p4,24,320,4.405
suburb13.y4m,4,hevc_nvenc,p4,24,320,4.495
suburb13.y4m,0,hevc_nvenc,p4,26,0,8.612
suburb13.y4m,1,hevc_nvenc,p4,26,0,8.6
suburb13.y4m,2,hevc_nvenc,p4,26,0,8.599
suburb13.y4m,3,hevc_nvenc,p4,26,0,8.599
suburb13.y4m,4,hevc_nvenc,p4,26,0,8.598
suburb13.y4m,0,hevc_nvenc,p4,26,320,4.543
suburb13.y4m,1,hevc_nvenc,p4,26,320,4.083
suburb13.y4m,2,hevc_nvenc,p4,26,320,4.336
suburb13.y4m,3,hevc_nvenc,p4,26,320,4.022
suburb13.y4m,4,hevc_nvenc,p4,26,320,3.965
suburb13.y4m,0,hevc_nvenc,p4,28,0,8.599
suburb13.y4m,1,hevc_nvenc,p4,28,0,8.597
suburb13.y4m,2,hevc_nvenc,p4,28,0,8.6
suburb13.y4m,3,hevc_nvenc,p4,28,0,8.597
suburb13.y4m,4,hevc_nvenc,p4,28,0,8.596
suburb13.y4m,0,hevc_nvenc,p4,28,320,4.142
suburb13.y4m,1,hevc_nvenc,p4,28,320,4.344
suburb13.y4m,2,hevc_nvenc,p4,28,320,4.184
suburb13.y4m,3,hevc_nvenc,p4,28,320,4.19
suburb13.y4m,4,hevc_nvenc,p4,28,320,4.293
suburb13.y4m,0,hevc_nvenc,p4,30,0,8.598
suburb13.y4m,1,hevc_nvenc,p4,30,0,8.596
suburb13.y4m,2,hevc_nvenc,p4,30,0,8.598
suburb13.y4m,3,hevc_nvenc,p4,30,0,8.598
suburb13.y4m,4,hevc_nvenc,p4,30,0,8.597
suburb13.y4m,0,hevc_nvenc,p4,30,320,4.258
suburb13.y4m,1,hevc_nvenc,p4,30,320,4.26
suburb13.y4m,2,hevc_nvenc,p4,30,320,4.36
suburb13.y4m,3,hevc_nvenc,p4,30,320,4.109
suburb13.y4m,4,hevc_nvenc,p4,30,320,4.409
suburb13.y4m,0,hevc_nvenc,p4,32,0,8.616
suburb13.y4m,1,hevc_nvenc,p4,32,0,8.605
suburb13.y4m,2,hevc_nvenc,p4,32,0,8.598
suburb13.y4m,3,hevc_nvenc,p4,32,0,8.597
suburb13.y4m,4,hevc_nvenc,p4,32,0,8.596
suburb13.y4m,0,hevc_nvenc,p4,32,320,4.082
suburb13.y4m,1,hevc_nvenc,p4,32,320,4.155
suburb13.y4m,2,hevc_nvenc,p4,32,320,4.252
suburb13.y4m,3,hevc_nvenc,p4,32,320,4.504
